rank,City,State[a],Est2022,Census2020
139,Newport News[k],Virginia,"184,306","186,247"
140,Chattanooga,Tennessee,"184,086","181,099"
141,Mobile,Alabama,"183,289","187,041"
142,Fort Lauderdale,Florida,"183,146","182,760"
143,Cary,North Carolina,"180,388","174,721"
144,Shreveport,Louisiana,"180,153","187,593"
145,Ontario,California,"179,061","175,265"
146,Eugene,Oregon,"177,923","176,654"
147,Aurora,Illinois,"177,866","180,542"
148,Elk Grove,California,"177,558","176,124"
149,Salem,Oregon,"177,487","175,535"
150,Santa Rosa,California,"177,181","178,127"
151,Clarksville,Tennessee,"176,974","166,722"
152,Rancho Cucamonga,California,"176,336","174,453"
153,Oceanside,California,"172,199","174,068"
154,Springfield,Missouri,"170,067","169,176"
155,Pembroke Pines,Florida,"169,876","171,178"
156,Garden Grove,California,"169,254","171,949"
157,Fort Collins,Colorado,"169,249","169,810"
158,Lancaster,California,"169,185","173,516"
159,Palmdale,California,"163,463","169,450"
160,Murfreesboro,Tennessee,"162,398","152,769"
161,Salinas,California,"161,020","163,542"
162,Corona,California,"159,567","157,136"
163,Killeen,Texas,"159,172","153,095"
164,Hayward,California,"156,754","162,954"
165,Paterson,New Jersey,"156,661","159,732"
166,Macon[u],Georgia,"156,197","157,346"
167,Lakewood,Colorado,"156,120","155,984"
168,Alexandria[k],Virginia,"155,525","159,467"
169,Roseville,California,"154,817","147,773"
170,Surprise,Arizona,"154,198","143,148"
171,Springfield,Massachusetts,"154,064","155,929"
172,Charleston,South Carolina,"153,672","150,227"
173,Kansas City[v],Kansas,"153,345","156,607"
174,Sunnyvale,California,"153,091","155,805"
175,Bellevue,Washington,"152,767","151,854"
176,Hollywood,Florida,"152,650","153,067"
177,Denton,Texas,"150,353","139,869"
178,Escondido,California,"150,270","151,038"
179,Joliet,Illinois,"150,033","150,362"
180,Naperville,Illinois,"149,936","149,540"
181,Bridgeport,Connecticut,"148,377","148,654"
182,Savannah,Georgia,"148,004","147,780"
183,Mesquite,Texas,"147,899","150,108"
184,Pasadena,Texas,"147,662","151,950"
185,Rockford,Illinois,"146,713","148,655"
186,Pomona,California,"146,017","151,713"
187,Jackson,Mississippi,"145,995","153,701"
188,Olathe,Kansas,"145,616","141,290"
189,Gainesville,Florida,"145,214","141,085"
190,McAllen,Texas,"144,579","142,210"
191,Syracuse,New York,"144,451","148,620"
192,Waco,Texas,"143,984","138,486"
193,Visalia,California,"143,966","141,384"
194,Thornton,Colorado,"143,282","141,867"
195,Torrance,California,"141,126","147,067"
196,Fullerton,California,"140,541","143,617"
197,Columbia,South Carolina,"139,698","136,632"
198,Lakewood,New Jersey,"139,506","135,158"
199,New Haven,Connecticut,"138,915","134,023"
200,Hampton[k],Virginia,"138,037","137,148"
